indicator_type,Company,Sector,Country,Region,Indicator,KPI,Unit,year,value
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Number of nationalities represented,Number,2023,135
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Number of nationalities represented,Number,2022,132
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Number of nationalities represented,Number,2021,125
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Number of nationalities represented,Number,2020,121
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in workforce,%,2023,22
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in workforce,%,2022,22
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in workforce,%,2021,21
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in workforce,%,2020,19
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in salaried workforce,%,2023,36
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in salaried workforce,%,2022,35
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in salaried workforce,%,2021,34
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in salaried workforce,%,2020,32
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in senior management,%,2023,29
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in senior management,%,2022,28
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in senior management,%,2021,26
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in senior management,%,2020,24
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in senior leadership,%,2023,14
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in senior leadership,%,2022,14
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in senior leadership,%,2021,14
Social,ABInBev,Consumer Defensive,South Africa,Africa,Diversity,Percent of women in senior leadership,%,2020,14
Social,ABInBev,Consumer Defensive,South Africa,Africa,Safety,Number of fatalities,Number,2023,5
Social,ABInBev,Consumer Defensive,South Africa,Africa,Safety,Number of fatalities,Number,2022,9
Social,ABInBev,Consumer Defensive,South Africa,Africa,Safety,Number of fatalities,Number,2021,6
Social,ABInBev,Consumer Defensive,South Africa,Africa,Safety,Number of fatalities,Number,2020,7
Social,ABInBev,Consumer Defensive,South Africa,Africa,Safety,Lost time injuries (LTIs),Number,2023,243
Social,ABInBev,Consumer Defensive,South Africa,Africa,Safety,Lost time injuries (LTIs),Number,2022,231
Social,ABInBev,Consumer Defensive,South Africa,Africa,Safety,Lost time injuries (LTIs),Number,2021,281
Social,ABInBev,Consumer Defensive,South Africa,Africa,Safety,Lost time injuries (LTIs),Number,2020,302
Social,ABInBev,Consumer Defensive,South Africa,Africa,Safety,Total recordable injuries,Number,2023,640
Social,ABInBev,Consumer Defensive,South Africa,Africa,Safety,Total recordable injuries,Number,2022,783
Social,ABInBev,Consumer Defensive,South Africa,Africa,Safety,Total recordable injuries,Number,2021,1033
Social,ABInBev,Consumer Defensive,South Africa,Africa,Safety,Total recordable injuries,Number,2020,984
Social,ABInBev,Consumer Defensive,South Africa,Africa,Employees,Number of employees,Number,2023,155000
Social,ABInBev,Consumer Defensive,South Africa,Africa,Employees,Number of employees,Number,2022,167000
Social,ABInBev,Consumer Defensive,South Africa,Africa,Employees,Number of employees,Number,2021,169000
Social,ABInBev,Consumer Defensive,South Africa,Africa,Employees,Number of employees,Number,2020,164000
Social,ABInBev,Consumer Defensive,South Africa,Africa,Employees,Employee turnover rate,%,2022,9.5
Social,ABInBev,Consumer Defensive,South Africa,Africa,Employees,Employee engagement score,%,2023,87
Social,ABInBev,Consumer Defensive,South Africa,Africa,Employees,Employee engagement score,%,2022,89
Social,ABInBev,Consumer Defensive,South Africa,Africa,Education,People recruited to the Global Management Trainee (GMT) Program,Number,2023,132
Social,ABInBev,Consumer Defensive,South Africa,Africa,Education,People recruited to the Global MBA (GMBA) Program,Number,2023,13
